Symbol,name,Name,Sector,industry,Summary Quote
PIH,"1347 property insurance holdings, inc.","1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 flowers.com, inc.","1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st constitution bancorp (nj),1st Constitution Bancorp (NJ),Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st source corporation,1st Source Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21vianet group, inc.","21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2u, inc.","2U, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, inc.","51job, Inc.",Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 energy partners lp,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 inc,8x8 Inc,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"a v homes, inc.","A V Homes, Inc.",Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"a. schulman, inc.","A. Schulman, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"aaon, inc.","AAON, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"abaxis, inc.","ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,abeona therapeutics inc.,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,abeona therapeutics inc.,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,ability inc.,Ability Inc.,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"abiomed, inc.","ABIOMED, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,abraxas petroleum corporation,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,ac immune sa,AC Immune SA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"acacia communications, inc.","Acacia Communications, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,acacia research corporation,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"acadia healthcare company, inc.","Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,acadia pharmaceuticals inc.,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"acasti pharma, inc.","Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"accelerate diagnostics, inc.","Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,"accelerated pharma, inc.","Accelerated Pharma, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,acceleron pharma inc.,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,access national corporation,Access National Corporation,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,accuray incorporated,Accuray Incorporated,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"acelrx pharmaceuticals, inc.","AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,aceto corporation,Aceto Corporation,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"achaogen, inc.","Achaogen, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,"achillion pharmaceuticals, inc.","Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"aci worldwide, inc.","ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"aclaris therapeutics, inc.","Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,acnb corporation,ACNB Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"acorda therapeutics, inc.","Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATVI,"activision blizzard, inc","Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,actua corporation,Actua Corporation,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,acxiom corporation,Acxiom Corporation,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"adamas pharmaceuticals, inc.","Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,adamis pharmaceuticals corporation,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,adaptimmune therapeutics plc,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,addus homecare corporation,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"addvantage technologies group, inc.","ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,adesto technologies corporation,Adesto Technologies Corporation,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,adma biologics inc,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,adobe systems incorporated,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"adtran, inc.","ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"aduro biotech, inc.","Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,advanced accelerator applications s.a.,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"advanced emissions solutions, inc.","Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"advanced energy industries, inc.","Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"advanced micro devices, inc.","Advanced Micro Devices, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"advaxis, inc.","Advaxis, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"advaxis, inc.","Advaxis, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"adverum biotechnologies, inc.","Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
MAUI,advisorshares market adaptive unconstrained income etf,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGN,aegion corp,Aegion Corp,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"aeglea biotherapeutics, inc.","Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,aehr test systems,Aehr Test Systems,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"aemetis, inc","Aemetis, Inc",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AERI,"aerie pharmaceuticals, inc.","Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"aerovironment, inc.","AeroVironment, Inc.",Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
